pclass,survival,sex,age,fare,embarked_Queenstown,embarked_Southampton
1,1,0,29.0,211.337494,False,True
1,1,1,0.916700006,151.550003,False,True
1,0,0,2.0,151.550003,False,True
1,0,1,30.0,151.550003,False,True
1,0,0,25.0,151.550003,False,True
1,1,1,48.0,26.5499992,False,True
1,1,0,63.0,77.9582977,False,True
1,0,1,39.0,0.0,False,True
1,1,0,53.0,51.4791985,False,True
1,0,1,71.0,49.5042,False,False
1,0,1,47.0,227.524994,False,False
1,1,0,18.0,227.524994,False,False
1,1,0,24.0,69.3000031,False,False
1,1,0,26.0,78.8499985,False,True
1,1,1,80.0,30.0,False,True
1,0,1,24.0,247.520798,False,False
1,1,0,50.0,247.520798,False,False
1,1,0,32.0,76.2917023,False,False
1,0,1,36.0,75.2416992,False,False
1,1,1,37.0,52.5541992,False,True
1,1,0,47.0,52.5541992,False,True
1,1,1,26.0,30.0,False,False
1,1,0,42.0,227.524994,False,False
1,1,0,29.0,221.779205,False,True
1,0,1,25.0,26.0,False,False
1,1,1,25.0,91.0792007,False,False
1,1,0,19.0,91.0792007,False,False
1,1,0,35.0,135.633301,False,True
1,1,1,28.0,26.5499992,False,True
1,0,1,45.0,35.5,False,True
1,1,1,40.0,31.0,False,False
1,1,0,30.0,164.866699,False,True
1,1,0,58.0,26.5499992,False,True
1,0,1,42.0,26.5499992,False,True
1,1,0,45.0,262.375,False,False
1,1,0,22.0,55.0,False,True
1,0,1,41.0,30.5,False,True
1,0,1,48.0,50.4958,False,False
1,1,0,44.0,27.7208004,False,False
1,1,0,59.0,51.4791985,False,True
1,1,0,60.0,76.2917023,False,False
1,1,0,41.0,134.5,False,False
1,0,1,45.0,26.5499992,False,True
1,1,1,42.0,26.2875004,False,True
1,1,0,53.0,27.4458008,False,False
1,1,1,36.0,512.329224,False,False
1,1,0,58.0,512.329224,False,False
1,0,1,33.0,5.0,False,True
1,0,1,28.0,47.0999985,False,True
1,0,1,17.0,47.0999985,False,True
1,1,1,11.0,120.0,False,True
1,1,0,14.0,120.0,False,True
1,1,1,36.0,120.0,False,True
1,1,0,36.0,120.0,False,True
1,0,1,49.0,26.0,False,True
1,0,1,36.0,78.8499985,False,True
1,1,0,76.0,78.8499985,False,True
1,0,1,46.0,61.1749992,False,True
1,1,0,47.0,61.1749992,False,True
1,1,1,27.0,53.0999985,False,True
1,1,0,33.0,53.0999985,False,True
1,1,0,36.0,262.375,False,False
1,1,0,30.0,86.5,False,True
1,1,1,45.0,29.7000008,False,False
1,0,1,27.0,136.779205,False,False
1,1,0,26.0,136.779205,False,False
1,1,0,22.0,151.550003,False,True
1,0,1,47.0,25.5874996,False,True
1,1,0,39.0,83.1583023,False,False
1,0,1,37.0,83.1583023,False,False
1,1,0,64.0,83.1583023,False,False
1,1,0,55.0,25.7000008,False,True
1,0,1,70.0,71.0,False,True
1,1,0,36.0,71.0,False,True
1,1,0,64.0,26.5499992,False,True
1,0,1,39.0,71.2833023,False,False
1,1,0,38.0,71.2833023,False,False
1,1,1,51.0,26.5499992,False,True
1,1,1,27.0,30.5,False,True
1,1,0,33.0,151.550003,False,True
1,0,1,31.0,52.0,False,True
1,1,0,27.0,52.0,False,True
1,1,1,31.0,57.0,False,True
1,1,0,17.0,57.0,False,True
1,1,1,53.0,81.8582993,False,True
1,1,1,4.0,81.8582993,False,True
1,1,0,54.0,81.8582993,False,True
1,0,1,50.0,106.425003,False,False
1,1,0,27.0,247.520798,False,False
1,1,0,48.0,106.425003,False,False
1,1,0,48.0,39.5999985,False,False
1,1,1,49.0,56.9291992,False,False
1,0,1,39.0,29.7000008,False,False
1,1,0,23.0,83.1583023,False,False
1,1,0,38.0,227.524994,False,False
1,1,0,54.0,78.2667007,False,False
1,0,0,36.0,31.6791992,False,False
1,1,1,36.0,26.3875008,False,True
1,0,1,30.0,27.75,False,False
1,1,0,24.0,263.0,False,True
1,1,0,28.0,263.0,False,True
1,1,0,23.0,263.0,False,True
1,0,1,19.0,263.0,False,True
1,0,1,64.0,263.0,False,True
1,1,0,60.0,263.0,False,True
1,1,0,30.0,56.9291992,False,False
1,1,1,50.0,133.649994,False,True
1,1,1,43.0,27.7208004,False,False
1,1,0,22.0,49.5,False,False
1,1,1,60.0,79.1999969,False,False
1,1,0,48.0,79.1999969,False,False
1,0,1,37.0,53.0999985,False,True
1,1,0,35.0,53.0999985,False,True
1,0,1,47.0,38.5,False,True
1,1,0,35.0,211.5,False,False
1,1,0,22.0,59.4000015,False,False
1,1,0,45.0,59.4000015,False,False
1,0,1,24.0,79.1999969,False,False
1,1,1,49.0,89.1042023,False,False
1,0,1,71.0,34.6542015,False,False
1,1,1,53.0,28.5,False,False
1,1,0,19.0,30.0,False,True
1,0,1,38.0,153.462494,False,True
1,1,0,58.0,153.462494,False,True
1,1,1,23.0,63.3582993,False,False
1,1,0,45.0,63.3582993,False,False
1,0,1,46.0,79.1999969,False,False
1,1,1,25.0,55.4417,False,False
1,1,0,25.0,55.4417,False,False
1,1,1,48.0,76.7292023,False,False
1,1,0,49.0,76.7292023,False,False
1,0,1,45.0,83.4749985,False,True
1,1,0,35.0,83.4749985,False,True
1,0,1,40.0,0.0,False,True
1,1,1,27.0,76.7292023,False,False
1,1,0,24.0,83.1583023,False,False
1,0,1,55.0,93.5,False,True
1,1,0,52.0,93.5,False,True
1,0,1,42.0,42.5,False,True
1,0,1,55.0,50.0,False,True
1,1,0,16.0,57.9791985,False,False
1,1,0,44.0,57.9791985,False,False
1,1,0,51.0,77.9582977,False,True
1,0,1,42.0,52.0,False,True
1,1,0,35.0,52.0,False,True
1,1,1,35.0,26.5499992,False,False
1,1,1,38.0,90.0,False,True
1,1,0,35.0,90.0,False,True
1,0,0,50.0,28.7124996,False,False
1,1,1,49.0,0.0,False,True
1,0,1,46.0,26.0,False,True
1,0,1,50.0,26.0,False,True
1,0,1,32.5,211.5,False,False
1,0,1,58.0,29.7000008,False,False
1,0,1,41.0,51.8624992,False,True
1,1,1,42.0,52.5541992,False,True
1,1,0,45.0,52.5541992,False,True
1,1,0,39.0,211.337494,False,True
1,1,0,49.0,25.9291992,False,True
1,1,0,30.0,106.425003,False,False
1,1,1,35.0,512.329224,False,False
1,0,1,42.0,26.5499992,False,True
1,1,0,55.0,27.7208004,False,False
1,1,0,16.0,39.4000015,False,True
1,1,0,51.0,39.4000015,False,True
1,0,1,29.0,30.0,False,True
1,1,0,21.0,77.9582977,False,True
1,0,1,30.0,45.5,False,True
1,1,0,58.0,146.520798,False,False
1,1,0,15.0,211.337494,False,True
1,0,1,30.0,26.0,False,True
1,1,0,16.0,86.5,False,True
1,0,1,19.0,53.0999985,False,True
1,1,0,18.0,53.0999985,False,True
1,1,0,24.0,49.5042,False,False
1,0,1,46.0,75.2416992,False,False
1,0,1,54.0,51.8624992,False,True
1,1,1,36.0,26.2875004,False,True
1,0,1,28.0,82.1707993,False,False
1,0,1,65.0,26.5499992,False,True
1,0,1,44.0,90.0,True,False
1,1,0,33.0,90.0,True,False
1,1,0,37.0,90.0,True,False
1,1,1,30.0,57.75,False,False
1,0,1,55.0,30.5,False,True
1,0,1,47.0,42.4000015,False,True
1,0,1,37.0,29.7000008,False,False
1,1,0,31.0,113.275002,False,False
1,1,0,23.0,113.275002,False,False
1,0,1,58.0,113.275002,False,False
1,1,0,19.0,26.2833004,False,True
1,0,1,64.0,26.0,False,True
1,1,0,39.0,108.900002,False,False
1,1,0,22.0,61.9791985,False,False
1,0,1,65.0,61.9791985,False,False
1,0,1,28.5,27.7208004,False,False
1,0,1,45.5,28.5,False,True
1,0,1,23.0,93.5,False,True
1,0,1,29.0,66.5999985,False,True
1,1,0,22.0,66.5999985,False,True
1,0,1,18.0,108.900002,False,False
1,1,0,17.0,108.900002,False,False
1,1,0,30.0,93.5,False,True
1,1,1,52.0,30.5,False,True
1,0,1,47.0,52.0,False,True
1,1,0,56.0,83.1583023,False,False
1,0,1,38.0,0.0,False,True
1,0,1,22.0,135.633301,False,False
1,1,0,43.0,211.337494,False,True
1,0,1,31.0,50.4958,False,True
1,1,1,45.0,26.5499992,False,True
1,1,0,33.0,27.7208004,False,False
1,0,1,46.0,79.1999969,False,False
1,0,1,36.0,40.125,False,False
1,1,0,33.0,86.5,False,True
1,0,1,55.0,59.4000015,False,False
1,1,0,54.0,59.4000015,False,False
1,0,1,33.0,26.5499992,False,True
1,1,1,13.0,262.375,False,False
1,1,0,18.0,262.375,False,False
1,1,0,21.0,262.375,False,False
1,0,1,61.0,262.375,False,False
1,1,0,48.0,262.375,False,False
1,1,0,24.0,69.3000031,False,False
1,1,0,35.0,57.75,False,False
1,1,0,30.0,31.0,False,False
1,1,1,34.0,26.5499992,False,True
1,1,0,40.0,153.462494,False,True
1,1,1,35.0,26.2875004,False,True
1,0,1,50.0,55.9000015,False,True
1,1,0,39.0,55.9000015,False,True
1,1,1,56.0,35.5,False,False
1,1,1,28.0,35.5,False,True
1,0,1,56.0,26.5499992,False,True
1,0,1,56.0,30.6958008,False,False
1,0,1,24.0,60.0,False,True
1,1,0,18.0,60.0,False,True
1,1,1,24.0,82.2667007,False,True
1,1,0,23.0,82.2667007,False,True
1,1,1,6.0,134.5,False,False
1,1,1,45.0,134.5,False,False
1,1,0,40.0,134.5,False,False
1,0,1,57.0,146.520798,False,False
1,1,1,32.0,30.5,False,False
1,0,1,62.0,26.5499992,False,True
1,1,1,54.0,55.4417,False,False
1,1,0,43.0,55.4417,False,False
1,1,0,52.0,78.2667007,False,False
1,0,1,67.0,221.779205,False,True
1,0,0,63.0,221.779205,False,True
1,0,1,61.0,32.3208008,False,True
1,1,0,48.0,25.9291992,False,True
1,1,0,18.0,79.6500015,False,True
1,0,1,52.0,79.6500015,False,True
1,1,0,39.0,79.6500015,False,True
1,1,1,48.0,52.0,False,True
1,0,1,49.0,110.883301,False,False
1,1,1,17.0,110.883301,False,False
1,1,0,39.0,110.883301,False,False
1,1,1,31.0,28.5375004,False,False
1,0,1,40.0,27.7208004,False,False
1,0,1,61.0,33.5,False,True
1,0,1,47.0,34.0208015,False,True
1,1,0,35.0,512.329224,False,False
1,0,1,64.0,75.25,False,False
1,1,0,60.0,75.25,False,False
1,0,1,60.0,26.5499992,False,True
1,0,1,54.0,77.2874985,False,True
1,0,1,21.0,77.2874985,False,True
1,1,0,55.0,135.633301,False,False
1,1,0,31.0,164.866699,False,True
1,0,1,57.0,164.866699,False,True
1,1,0,45.0,164.866699,False,True
1,0,1,50.0,211.5,False,False
1,0,1,27.0,211.5,False,False
1,1,0,50.0,211.5,False,False
1,1,0,21.0,26.5499992,False,True
1,0,1,51.0,61.3792,False,False
1,1,1,21.0,61.3792,False,False
1,1,0,31.0,134.5,False,False
1,0,1,62.0,26.5499992,False,True
1,1,0,36.0,135.633301,False,False
2,0,1,30.0,24.0,False,False
2,1,0,28.0,24.0,False,False
2,0,1,30.0,13.0,False,True
2,0,1,18.0,11.5,False,True
2,0,1,25.0,10.5,False,True
2,0,1,34.0,26.0,False,True
2,1,0,36.0,26.0,False,True
2,0,1,57.0,13.0,False,True
2,0,1,18.0,11.5,False,True
2,0,1,23.0,10.5,False,True
2,1,0,36.0,13.0,False,True
2,0,1,28.0,10.5,False,True
2,0,1,51.0,12.5249996,False,True
2,1,1,32.0,26.0,False,True
2,1,0,19.0,26.0,False,True
2,0,1,28.0,26.0,False,True
2,1,1,1.0,39.0,False,True
2,1,0,4.0,39.0,False,True
2,1,0,12.0,39.0,False,True
2,1,0,36.0,39.0,False,True
2,1,1,34.0,13.0,False,True
2,1,0,19.0,13.0,False,True
2,0,1,23.0,13.0,False,True
2,0,1,26.0,13.0,False,True
2,0,1,42.0,13.0,False,True
2,0,1,27.0,13.0,False,True
2,1,0,24.0,13.0,False,True
2,1,0,15.0,39.0,False,True
2,0,1,60.0,39.0,False,True
2,1,0,40.0,39.0,False,True
2,1,0,20.0,26.0,False,True
2,0,1,25.0,26.0,False,True
2,1,0,36.0,13.0,False,True
2,0,1,25.0,13.0,False,True
2,0,1,42.0,13.0,False,True
2,1,0,42.0,13.0,False,True
2,1,1,0.833299994,29.0,False,True
2,1,1,26.0,29.0,False,True
2,1,0,22.0,29.0,False,True
2,1,0,35.0,21.0,False,True
2,0,1,19.0,13.0,False,True
2,0,0,44.0,26.0,False,True
2,0,1,54.0,26.0,False,True
2,0,1,52.0,13.5,False,True
2,0,1,37.0,26.0,False,True
2,0,0,29.0,26.0,False,True
2,1,0,25.0,30.0,False,True
2,1,0,45.0,30.0,False,True
2,0,1,29.0,26.0,False,True
2,1,0,28.0,26.0,False,True
2,0,1,29.0,10.5,False,True
2,0,1,28.0,13.0,False,True
2,1,1,24.0,10.5,False,True
2,1,0,8.0,26.25,False,True
2,0,1,31.0,26.25,False,True
2,1,0,31.0,26.25,False,True
2,1,0,22.0,10.5,False,True
2,0,0,30.0,13.0,False,True
2,0,1,21.0,11.5,False,True
2,1,1,8.0,36.75,False,True
2,0,1,18.0,73.5,False,True
2,1,0,48.0,36.75,False,True
2,1,0,28.0,13.0,False,True
2,0,1,32.0,13.0,False,True
2,0,1,17.0,73.5,False,True
2,0,1,29.0,27.7208004,False,False
2,1,0,24.0,27.7208004,False,False
2,0,1,25.0,31.5,False,True
2,0,1,18.0,73.5,False,True
2,1,0,18.0,23.0,False,True
2,1,0,34.0,23.0,False,True
2,0,1,54.0,26.0,False,True
2,1,1,8.0,32.5,False,True
2,0,1,42.0,32.5,False,True
2,1,0,34.0,32.5,False,True
2,1,0,27.0,13.8583002,False,False
2,1,0,30.0,13.8583002,False,False
2,0,1,23.0,13.0,False,True
2,0,1,21.0,13.0,False,True
2,0,1,18.0,13.0,False,True
2,0,1,40.0,26.0,False,True
2,1,0,29.0,26.0,False,True
2,0,1,18.0,10.5,False,True
2,0,1,36.0,13.0,False,True
2,0,0,38.0,13.0,False,True
2,0,1,35.0,26.0,False,True
2,0,1,38.0,21.0,False,True
2,0,1,34.0,21.0,False,True
2,1,0,34.0,13.0,False,True
2,0,1,16.0,26.0,False,True
2,0,1,26.0,10.5,False,True
2,0,1,47.0,10.5,False,True
2,0,1,21.0,11.5,False,True
2,0,1,21.0,11.5,False,True
2,0,1,24.0,13.5,False,True
2,0,1,24.0,13.0,False,True
2,0,1,34.0,13.0,False,True
2,0,1,30.0,13.0,False,True
2,0,1,52.0,13.0,False,True
2,0,1,30.0,13.0,False,True
2,1,1,0.666700006,14.5,False,True
2,1,0,24.0,14.5,False,True
2,0,1,44.0,13.0,False,True
2,1,0,6.0,33.0,False,True
2,0,1,28.0,33.0,False,True
2,1,1,62.0,10.5,False,True
2,0,1,30.0,10.5,False,True
2,1,0,7.0,26.25,False,True
2,0,1,43.0,26.25,False,True
2,1,0,45.0,26.25,False,True
2,1,0,24.0,65.0,False,True
2,1,0,24.0,65.0,False,True
2,0,1,49.0,65.0,False,True
2,1,0,48.0,65.0,False,True
2,1,0,55.0,16.0,False,True
2,0,1,24.0,73.5,False,True
2,0,1,32.0,73.5,False,True
2,0,1,21.0,73.5,False,True
2,0,0,18.0,13.0,False,True
2,1,0,20.0,23.0,False,True
2,0,1,23.0,11.5,False,True
2,0,1,36.0,13.0,False,True
2,1,0,54.0,23.0,False,True
2,0,1,50.0,13.0,False,True
2,0,1,44.0,26.0,False,True
2,1,0,29.0,26.0,False,True
2,0,1,21.0,73.5,False,True
2,1,1,42.0,13.0,False,True
2,0,1,63.0,26.0,False,True
2,0,0,60.0,26.0,False,True
2,0,1,33.0,12.2749996,False,True
2,1,0,17.0,10.5,False,True
2,0,1,42.0,27.0,False,True
2,1,0,24.0,27.0,False,True
2,0,1,47.0,15.0,False,True
2,0,1,24.0,31.5,False,True
2,0,1,22.0,31.5,False,True
2,0,1,32.0,10.5,False,True
2,1,0,23.0,13.7917004,False,False
2,0,1,34.0,26.0,False,True
2,1,0,24.0,26.0,False,True
2,0,0,22.0,21.0,False,True
2,0,1,35.0,12.3500004,True,False
2,1,0,45.0,13.5,False,True
2,0,1,57.0,12.3500004,True,False
2,0,1,31.0,10.5,False,True
2,0,0,26.0,26.0,False,True
2,0,1,30.0,26.0,False,True
2,1,0,1.0,41.5792007,False,False
2,1,0,3.0,41.5792007,False,False
2,0,1,25.0,41.5792007,False,False
2,1,0,22.0,41.5792007,False,False
2,1,0,17.0,12.0,False,False
2,1,0,34.0,10.5,False,True
2,0,1,36.0,12.875,False,False
2,0,1,24.0,10.5,False,True
2,0,1,61.0,12.3500004,True,False
2,0,1,50.0,26.0,False,True
2,1,0,42.0,26.0,False,True
2,0,0,57.0,10.5,False,True
2,1,1,1.0,37.0042,False,False
2,0,1,31.0,37.0042,False,False
2,1,0,24.0,37.0042,False,False
2,0,1,30.0,13.0,False,True
2,0,1,40.0,16.0,False,True
2,0,1,32.0,13.5,False,True
2,0,1,30.0,13.0,False,True
2,0,1,46.0,26.0,False,True
2,1,0,13.0,19.5,False,True
2,1,0,41.0,19.5,False,True
2,1,1,19.0,10.5,False,True
2,0,1,39.0,13.0,False,True
2,0,1,48.0,13.0,False,True
2,0,1,70.0,10.5,False,True
2,0,1,27.0,13.0,False,True
2,0,1,54.0,14.0,False,True
2,0,1,39.0,26.0,False,True
2,0,1,16.0,10.5,False,True
2,0,1,62.0,9.6875,True,False
2,0,1,32.5,30.0708008,False,False
2,1,0,14.0,30.0708008,False,False
2,1,1,2.0,26.0,False,True
2,1,1,3.0,26.0,False,True
2,0,1,36.5,26.0,False,True
2,0,1,26.0,13.0,False,True
2,0,1,19.0,36.75,False,True
2,0,1,28.0,13.5,False,True
2,1,1,20.0,13.8625002,False,False
2,1,0,29.0,10.5,False,True
2,0,1,39.0,13.0,False,True
2,1,1,22.0,10.5,False,True
2,0,1,23.0,10.5,False,True
2,1,1,29.0,13.8583002,False,False
2,0,1,28.0,10.5,False,True
2,1,0,50.0,26.0,False,True
2,0,1,19.0,10.5,False,True
2,0,1,41.0,13.0,False,True
2,1,0,21.0,21.0,False,True
2,1,0,19.0,26.0,False,True
2,0,1,43.0,21.0,False,True
2,1,0,32.0,13.0,False,True
2,0,1,34.0,13.0,False,True
2,1,1,30.0,12.7375002,False,False
2,0,1,27.0,15.0333004,False,False
2,1,0,2.0,26.0,False,True
2,1,0,8.0,26.0,False,True
2,1,0,33.0,26.0,False,True
2,0,1,36.0,10.5,False,True
2,0,1,34.0,21.0,False,True
2,1,0,30.0,21.0,False,True
2,1,0,28.0,13.0,False,True
2,0,1,23.0,15.0458002,False,False
2,1,1,0.833299994,18.75,False,True
2,1,1,3.0,18.75,False,True
2,1,0,24.0,18.75,False,True
2,1,0,50.0,10.5,False,True
2,0,1,19.0,10.5,False,True
2,1,0,21.0,10.5,False,True
2,0,1,26.0,13.0,False,True
2,0,1,25.0,13.0,False,True
2,0,1,27.0,26.0,False,True
2,1,0,25.0,26.0,False,True
2,1,0,18.0,13.0,False,True
2,1,0,20.0,36.75,False,True
2,1,0,30.0,13.0,False,True
2,0,1,59.0,13.5,False,True
2,1,0,30.0,12.3500004,True,False
2,0,1,35.0,10.5,False,True
2,1,0,40.0,13.0,False,True
2,0,1,25.0,13.0,False,True
2,0,1,41.0,15.0458002,False,False
2,0,1,25.0,10.5,False,True
2,0,1,18.5,13.0,False,True
2,0,1,14.0,65.0,False,True
2,1,0,50.0,10.5,False,True
2,0,1,23.0,13.0,False,True
2,1,0,28.0,12.6499996,False,True
2,1,0,27.0,10.5,False,True
2,0,1,29.0,21.0,False,True
2,0,0,27.0,21.0,False,True
2,0,1,40.0,13.0,False,True
2,1,0,31.0,21.0,False,True
2,0,1,30.0,21.0,False,True
2,0,1,23.0,10.5,False,True
2,1,0,31.0,21.0,False,True
2,1,0,12.0,15.75,False,True
2,1,0,40.0,15.75,False,True
2,1,0,32.5,13.0,False,True
2,0,1,27.0,26.0,False,True
2,1,0,29.0,26.0,False,True
2,1,1,2.0,23.0,False,True
2,1,0,4.0,23.0,False,True
2,1,0,29.0,23.0,False,True
2,1,0,0.916700006,27.75,False,True
2,1,0,5.0,27.75,False,True
